"V1" "V2"
"91" "Microcalanus pygmaeus" "amphipod"
"92" "Nauplius" "amphipod"
"93" "Oithona sp." "amphipod"
"94" "Oncaea sp." "amphipod"
"95" "Polychaete" "amphipod"
"96" "Protozoa" "amphipod"
"97" "Pteropod" "amphipod"
"98" "Stephus longipes" "amphipod"
"99" "Tintinnid" "amphipod"
"100" "Unidentified crustacean egg" "amphipod"
"101" "unidentified invert larva" "amphipod"
"102" "amphipod" "Ancistroteuthis lichtensteini"
"103" "Benthosema glaciale" "Ancistroteuthis lichtensteini"
"104" "Bivalve" "Ancistroteuthis lichtensteini"
"105" "Calliopius sp." "Ancistroteuthis lichtensteini"
"106" "Chaetognatha" "Ancistroteuthis lichtensteini"
"107" "Copepod copepodite" "Ancistroteuthis lichtensteini"
"108" "copepod nauplius" "Ancistroteuthis lichtensteini"
"109" "crustacean larva" "Ancistroteuthis lichtensteini"
"110" "E.superba furcilia" "Ancistroteuthis lichtensteini"
"111" "Euphausa superba" "Ancistroteuthis lichtensteini"
"112" "euphausia" "Ancistroteuthis lichtensteini"
"113" "Euphausid furcilia" "Ancistroteuthis lichtensteini"
"114" "fish larvae" "Ancistroteuthis lichtensteini"
"115" "gastropod" "Ancistroteuthis lichtensteini"
"116" "Glyptocephalus cynoglossus" "Ancistroteuthis lichtensteini"
"117" "Goby" "Ancistroteuthis lichtensteini"
"118" "Gonostomatidae sp." "Ancistroteuthis lichtensteini"
"119" "Hyperidae" "Ancistroteuthis lichtensteini"
"120" "Insects" "Ancistroteuthis lichtensteini"
"121" "Lepidotrigla cavillone" "Ancistroteuthis lichtensteini"
"122" "Loligo pealei or Illex illecebrosus" "Ancistroteuthis lichtensteini"
"123" "Maurolicus muelleri" "Ancistroteuthis lichtensteini"
"124" "Meganyctiphanes norvegica" "Ancistroteuthis lichtensteini"
"125" "Mysidacea" "Ancistroteuthis lichtensteini"
"126" "Notothenia gibberifrons" "Ancistroteuthis lichtensteini"
"127" "Notothenia neglecta" "Ancistroteuthis lichtensteini"
"128" "Nototheniops larseni" "Ancistroteuthis lichtensteini"
"129" "Ophidion elongatus" "Ancistroteuthis lichtensteini"
"130" "Parathemisto gaudichaudi" "Ancistroteuthis lichtensteini"
"131" "Pleuragramma antarcticum" "Ancistroteuthis lichtensteini"
"132" "Roundworm" "Ancistroteuthis lichtensteini"
"133" "silversides, anchovies and 'other fish prey'" "Ancistroteuthis lichtensteini"
"134" "Themisto pacifica" "Ancistroteuthis lichtensteini"
"135" "Theragra chalcogramma" "Ancistroteuthis lichtensteini"
"136" "Thysanoessa macrura" "Ancistroteuthis lichtensteini"
"137" "Thysanoessa raschii" "Ancistroteuthis lichtensteini"
"138" "Thysanoessa spinefera" "Ancistroteuthis lichtensteini"
"139" "Acanthocepola sp." "Ancistroteuthis lichtensteini"
"140" "Ammodytes hexapterus" "Ancistroteuthis lichtensteini"
"141" "Anarhichas lupus" "Ancistroteuthis lichtensteini"
"142" "Anarhichas minor" "Ancistroteuthis lichtensteini"
"143" "Carangoides sp." "Ancistroteuthis lichtensteini"
"144" "Chionodraco rastrospinosus" "Ancistroteuthis lichtensteini"
"145" "Diaphus garmani" "Ancistroteuthis lichtensteini"
"146" "Dicentrarchus labrax" "Ancistroteuthis lichtensteini"
"147" "Gilbertidia sigalutes" "Ancistroteuthis lichtensteini"
"148" "Hemilepidotus hemilepidotus" "Ancistroteuthis lichtensteini"
"149" "Hemilepidotus spinosus" "Ancistroteuthis lichtensteini"
"150" "Hexagrammos decagrammus" "Ancistroteuthis lichtensteini"
"151" "Hygophum benoiti" "Ancistroteuthis lichtensteini"
"152" "Lumpenella longirostris" "Ancistroteuthis lichtensteini"
"153" "Lumpenus sagitta" "Ancistroteuthis lichtensteini"
"154" "Merluccius productus" "Ancistroteuthis lichtensteini"
"155" "Myctophum asperum" "Ancistroteuthis lichtensteini"
"156" "Myctophum punctatum" "Ancistroteuthis lichtensteini"
"157" "Nototheniops larseni" "Ancistroteuthis lichtensteini"
"158" "Oncorhynchus gorbuscha" "Ancistroteuthis lichtensteini"
"159" "Ophiodon elongatus" "Ancistroteuthis lichtensteini"
"160" "Pleuragramma antarcticum" "Ancistroteuthis lichtensteini"
"161" "Psychrolutes paradoxus" "Ancistroteuthis lichtensteini"
"162" "Rhamphocottus richardsoni" "Ancistroteuthis lichtensteini"
"163" "Scorpaenodes sp." "Ancistroteuthis lichtensteini"
"164" "Sebastes sp." "Ancistroteuthis lichtensteini"
"165" "Theragra chalcogramma" "Ancistroteuthis lichtensteini"
"166" "Calanoides acutus" "Arctozenus risso"
"167" "Calanus pacificus" "Arctozenus risso"
"168" "Calanus propinquus" "Arctozenus risso"
"169" "Calanus sp." "Arctozenus risso"
"170" "cladocera" "Arctozenus risso"
"171" "Clupea pallasii" "Arctozenus risso"
"172" "copepod" "Arctozenus risso"
"173" "Copepod egg" "Arctozenus risso"
"174" "crab megalope" "Arctozenus risso"
"175" "Cyclopoid copepodite" "Arctozenus risso"
"176" "Decapod zoea" "Arctozenus risso"
"177" "Eucalanus bungii" "Arctozenus risso"
"178" "Eucalanus sp." "Arctozenus risso"
"179" "Euchaeta sp." "Arctozenus risso"
"180" "isopod" "Arctozenus risso"
"181" "Lumpenus sagitta" "Arctozenus risso"
"182" "Metridia gerlacei" "Arctozenus risso"
"183" "Metridia sp." "Arctozenus risso"
"184" "Oikopleura" "Arctozenus risso"
"185" "Ostracod" "Arctozenus risso"
"186" "Rhincalanus gigas" "Arctozenus risso"
"187" "Schistomysis spiritus" "Arctozenus risso"
"188" "Thysanoessa inermis" "Arctozenus risso"
"189" "Unidentified" "Arctozenus risso"
"190" "Unidentified crustacean" "Arctozenus risso"
"191" "Benthosema glaciale" "Arctozenus risso"
"192" "Ceratoscopelus maderensis" "Arctozenus risso"
"193" "Cynoglossus sp." "Arctozenus risso"
"194" "Lampanyctus crocodilus" "Arctozenus risso"
"195" "Notolepis rissoi" "Arctozenus risso"
"196" "amphipod" "Argentina sphyraena"
"197" "Benthosema glaciale" "Argentina sphyraena"
"198" "Bivalve" "Argentina sphyraena"
"199" "Calliopius sp." "Argentina sphyraena"
"200" "Copepod copepodite" "Argentina sphyraena"
"201" "Copepod egg" "Argentina sphyraena"
"202" "copepod nauplius" "Argentina sphyraena"
"203" "crustacean larva" "Argentina sphyraena"
"204" "E.superba furcilia" "Argentina sphyraena"
"205" "Euphausa superba" "Argentina sphyraena"
"206" "euphausia" "Argentina sphyraena"
"207" "fish larvae" "Argentina sphyraena"
"208" "gastropod" "Argentina sphyraena"
"209" "Goby" "Argentina sphyraena"
"210" "Hyperidae" "Argentina sphyraena"
"211" "Insects" "Argentina sphyraena"
"212" "Loligo pealei or Illex illecebrosus" "Argentina sphyraena"
"213" "Meganyctiphanes norvegica" "Argentina sphyraena"
"214" "Notothenia gibberifrons" "Argentina sphyraena"
"215" "Notothenia neglecta" "Argentina sphyraena"
"216" "Nototheniops larseni" "Argentina sphyraena"
"217" "Ophidion elongatus" "Argentina sphyraena"
"218" "Pleuragramma antarcticum" "Argentina sphyraena"
"219" "Roundworm" "Argentina sphyraena"
"220" "Schistomysis spiritus" "Argentina sphyraena"
"221" "Themisto pacifica" "Argentina sphyraena"
"222" "Theragra chalcogramma" "Argentina sphyraena"
"223" "Thysanoessa inermis" "Argentina sphyraena"
"224" "Thysanoessa macrura" "Argentina sphyraena"
"225" "Thysanoessa raschii" "Argentina sphyraena"
"226" "Thysanoessa spinefera" "Argentina sphyraena"
"227" "Acanthocepola sp." "Argentina sphyraena"
"228" "Ammodytes hexapterus" "Argentina sphyraena"
"229" "Anarhichas lupus" "Argentina sphyraena"
"230" "Anarhichas minor" "Argentina sphyraena"
"231" "Benthosema glaciale" "Argentina sphyraena"
"232" "Carangoides sp." "Argentina sphyraena"
"233" "Ceratoscopelus maderensis" "Argentina sphyraena"
"234" "Chionodraco rastrospinosus" "Argentina sphyraena"
"235" "Diaphus garmani" "Argentina sphyraena"
"236" "Dicentrarchus labrax" "Argentina sphyraena"
"237" "Gilbertidia sigalutes" "Argentina sphyraena"
"238" "Hemilepidotus hemilepidotus" "Argentina sphyraena"
"239" "Hemilepidotus spinosus" "Argentina sphyraena"
"240" "Hygophum benoiti" "Argentina sphyraena"
"241" "Lampanyctus crocodilus" "Argentina sphyraena"
"242" "Lumpenella longirostris" "Argentina sphyraena"
"243" "Lumpenus sagitta" "Argentina sphyraena"
"244" "Merluccius productus" "Argentina sphyraena"
"245" "Myctophum asperum" "Argentina sphyraena"
"246" "Myctophum punctatum" "Argentina sphyraena"
"247" "Notolepis rissoi" "Argentina sphyraena"
"248" "Oncorhynchus gorbuscha" "Argentina sphyraena"
"249" "Ophiodon elongatus" "Argentina sphyraena"
"250" "Psychrolutes paradoxus" "Argentina sphyraena"
"251" "Rhamphocottus richardsoni" "Argentina sphyraena"
"252" "Scorpaenodes sp." "Argentina sphyraena"
"253" "Sebastes sp." "Argentina sphyraena"
"254" "Agonus cataphractus" "Belone belone"
"255" "Ammodytes sp." "Belone belone"
"256" "Ancistroteuthis lichtensteini" "Belone belone"
"257" "Arctozenus risso" "Belone belone"
"258" "Argentina sphyraena" "Belone belone"
"259" "Benthosema glaciale" "Belone belone"
"260" "Buglossidium luteum" "Belone belone"
"261" "Callionymus lyra" "Belone belone"
"262" "Callionymus maculatus" "Belone belone"
"263" "Capros aper" "Belone belone"
"264" "Ceratoscopelus maderensis" "Belone belone"
"265" "Chaetognatha" "Belone belone"
"266" "Chiroteuthis sp" "Belone belone"
"267" "Clupeoid" "Belone belone"
"268" "crustacean" "Belone belone"
"269" "crustacean larva" "Belone belone"
"270" "Cubiceps gracilis" "Belone belone"
"271" "Deltentosteus quadrimaculatus" "Belone belone"
"272" "Engraulis encrassicolus" "Belone belone"
"273" "Euphausid furcilia" "Belone belone"
"274" "fish" "Belone belone"
"275" "fish larvae" "Belone belone"
"276" "fish unidentified" "Belone belone"
"277" "flatfish" "Belone belone"
"278" "Funchalia woodwardii" "Belone belone"
"279" "Gadiculus argenteus" "Belone belone"
"280" "Gadiculus sp." "Belone belone"
"281" "Gadoid" "Belone belone"
"282" "Gaidropsarus sp." "Belone belone"
"283" "Gaidropsarus vulgaris" "Belone belone"
"284" "Galiteuthis armata" "Belone belone"
"285" "gelatinous" "Belone belone"
"286" "Glyptocephalus cynoglossus" "Belone belone"
"287" "Goby" "Belone belone"
"288" "Gonatus steenstrupi" "Belone belone"
"289" "Gonostomatidae sp." "Belone belone"
"290" "Gurnard" "Belone belone"
"291" "Hatchet fish" "Belone belone"
"292" "Hippoglossoides platessoides" "Belone belone"
"293" "Histioteuthis reversa" "Belone belone"
"294" "Lepidorhombus whiffiagonis" "Belone belone"
"295" "Lepidotrigla cavillone" "Belone belone"
"296" "Limanda limanda" "Belone belone"
"297" "Lobianchia gemellari" "Belone belone"
"298" "Loligo pealei or Illex illecebrosus" "Belone belone"
"299" "Macroparalepis affinis" "Belone belone"
"300" "Mastigoteuthis sp" "Belone belone"
"301" "Maurolicus muelleri" "Belone belone"
"302" "Meganyctiphanes norvegica" "Belone belone"
"303" "Merlangius merlangus" "Belone belone"
"304" "Microchirus variegatus" "Belone belone"
"305" "Micromesistius potassou" "Belone belone"
"306" "Myctophid" "Belone belone"
"307" "Myctophum punctatum" "Belone belone"
"308" "Mysidacea" "Belone belone"
"309" "Notoscopelus kroeyeri" "Belone belone"
"310" "Octopoteuthis sp" "Belone belone"
"311" "Onychoteuthis banksi" "Belone belone"
"312" "Paralepididae sp" "Belone belone"
"313" "Parathemisto gaudichaudi" "Belone belone"
"314" "Peprilus triacanthus" "Belone belone"
"315" "Rockling" "Belone belone"
"316" "Sardina pilchardus" "Belone belone"
"317" "Scaldfish" "Belone belone"
"318" "Scomber scrombus" "Belone belone"
"319" "Scomberesox saurus" "Belone belone"
"320" "Scyliorhinus canicula" "Belone belone"
"321" "Sepiolidae" "Belone belone"
"322" "Serranus hepatus" "Belone belone"
"323" "silversides, anchovies and 'other fish prey'" "Belone belone"
"324" "Sprattus sprattus" "Belone belone"
"325" "squid unidentified" "Belone belone"
"326" "Symbolophorus veranyi" "Belone belone"
"327" "teleosts/molluscs/crustaceans" "Belone belone"
"328" "Themisto pacifica" "Belone belone"
"329" "Trachurus trachurus" "Belone belone"
"330" "Trigla lyra" "Belone belone"
"331" "Trisopterus esmarkii" "Belone belone"
"332" "Trisopterus luscus" "Belone belone"
"333" "Trisopterus minutus" "Belone belone"
"334" "Trisopterus sp." "Belone belone"
"335" "unidentified invertebrate" "Belone belone"
"336" "unidentified squid" "Belone belone"
"337" "Anarhichas minor" "Belone belone"
"338" "Arnoglossus imperialis" "Belone belone"
"339" "Clupea pallasii" "Belone belone"
"340" "Dicentrarchus labrax" "Belone belone"
"341" "Gasterosteus aculeatus" "Belone belone"
"342" "Gilbertidia sigalutes" "Belone belone"
"343" "Hemilepidotus hemilepidotus" "Belone belone"
"344" "Hexagrammos decagrammus" "Belone belone"
"345" "Hypomesus pretiosus" "Belone belone"
"346" "Loligo pealeii" "Belone belone"
"347" "Micromesistius poutassou" "Belone belone"
"348" "Nototheniops larseni" "Belone belone"
"349" "Oncorhynchus gorbuscha" "Belone belone"
"350" "Oncorhynchus keta" "Belone belone"
"351" "Oncorhynchus nerka" "Belone belone"
"352" "Ophiodon elongatus" "Belone belone"
"353" "Pleuragramma antarcticum" "Belone belone"
"354" "Thaleichthys pacificus" "Belone belone"
"355" "Theragra chalcogramma" "Belone belone"
"356" "Trisopterus minutus" "Belone belone"
"357" "Amphipod" "Benthosema glaciale"
"358" "Appendicularians house" "Benthosema glaciale"
"359" "brachyura larvae" "Benthosema glaciale"
"360" "bryozoa larvae" "Benthosema glaciale"
"361" "Calanoid copepodite" "Benthosema glaciale"
"362" "Calanoides acutus" "Benthosema glaciale"
"363" "Calanus pacificus" "Benthosema glaciale"
"364" "Calanus propinquus" "Benthosema glaciale"
"365" "Calanus sp." "Benthosema glaciale"
"366" "Centropages typicus - copepodite" "Benthosema glaciale"
"367" "cladocera" "Benthosema glaciale"
"368" "Cladocera" "Benthosema glaciale"
"369" "copepod" "Benthosema glaciale"
"370" "Corycaeus sp." "Benthosema glaciale"
"371" "crab megalope" "Benthosema glaciale"
"372" "Ctenocalanus sp." "Benthosema glaciale"
"373" "Cyclopoid copepodite" "Benthosema glaciale"
"374" "Decapod zoea" "Benthosema glaciale"
"375" "E. superba eggs" "Benthosema glaciale"
"376" "E. superba nauplius" "Benthosema glaciale"
"377" "Eucalanus sp." "Benthosema glaciale"
"378" "Euchaeta sp." "Benthosema glaciale"
"379" "Euphausid calyptopis" "Benthosema glaciale"
"380" "fish eggs" "Benthosema glaciale"
"381" "Harpacticoid" "Benthosema glaciale"
"382" "Heterorhabdus sp." "Benthosema glaciale"
"383" "isopod" "Benthosema glaciale"
"384" "Medusa" "Benthosema glaciale"
"385" "Metridia gerlacei" "Benthosema glaciale"
"386" "Metridia sp." "Benthosema glaciale"
"387" "Microcalanus pygmaeus" "Benthosema glaciale"
"388" "Nauplius" "Benthosema glaciale"
"389" "Oikopleura" "Benthosema glaciale"
"390" "Oncaea sp." "Benthosema glaciale"
"391" "Ostracod" "Benthosema glaciale"
"392" "Polychaete" "Benthosema glaciale"
"393" "Protozoa" "Benthosema glaciale"
"394" "Rhincalanus gigas" "Benthosema glaciale"
"395" "Stephus longipes" "Benthosema glaciale"
"396" "Unidentified" "Benthosema glaciale"
"397" "Unidentified crustacean" "Benthosema glaciale"
"398" "Unidentified crustacean egg" "Benthosema glaciale"
"399" "unidentified invert larva" "Benthosema glaciale"
"400" "Amphipod" "Bivalve"
"401" "Appendicularians" "Bivalve"
"402" "Appendicularians house" "Bivalve"
"403" "brachyura larvae" "Bivalve"
"404" "bryozoa larvae" "Bivalve"
"405" "Calanoid copepodite" "Bivalve"
"406" "calanoid egg" "Bivalve"
"407" "Calanus pacificus" "Bivalve"
"408" "Centropages typicus - copepodite" "Bivalve"
"409" "Centropages typicus - nauplius" "Bivalve"
"410" "cladocera" "Bivalve"
"411" "Cladocera" "Bivalve"
"412" "Clausocalanus sp." "Bivalve"
"413" "Copepod nauplius" "Bivalve"
"414" "Copepoda juv." "Bivalve"
"415" "Corycaeus sp." "Bivalve"
"416" "Ctenocalanus sp." "Bivalve"
"417" "Cyclopoid copepodite" "Bivalve"
"418" "E. superba eggs" "Bivalve"
"419" "E. superba nauplius" "Bivalve"
"420" "egg" "Bivalve"
"421" "Eucalanus sp." "Bivalve"
"422" "Euchaeta sp." "Bivalve"
"423" "Euphausid calyptopis" "Bivalve"
"424" "fish eggs" "Bivalve"
"425" "Harpacticoid" "Bivalve"
"426" "Heterorhabdus sp." "Bivalve"
"427" "Limacina helicina" "Bivalve"
"428" "Medusa" "Bivalve"
"429" "Metridia gerlacei" "Bivalve"
"430" "Metridia sp." "Bivalve"
"431" "Microcalanus pygmaeus" "Bivalve"
"432" "Nauplius" "Bivalve"
"433" "Oikopleura" "Bivalve"
"434" "Oithona sp." "Bivalve"
"435" "Oncaea sp." "Bivalve"
"436" "Ostracod" "Bivalve"
"437" "Polychaete" "Bivalve"
"438" "Protozoa" "Bivalve"
"439" "Stephus longipes" "Bivalve"
"440" "Tintinnid" "Bivalve"
"441" "Unidentified" "Bivalve"
"442" "Unidentified crustacean" "Bivalve"
"443" "Unidentified crustacean egg" "Bivalve"
"444" "unidentified invert larva" "Bivalve"
"445" "Agonus cataphractus" "Brama brama"
"446" "Ammodytes sp." "Brama brama"
"447" "Ancistroteuthis lichtensteini" "Brama brama"
"448" "Arctozenus risso" "Brama brama"
"449" "Argentina sphyraena" "Brama brama"
"450" "Benthosema glaciale" "Brama brama"
"451" "Buglossidium luteum" "Brama brama"
"452" "Callionymus lyra" "Brama brama"
"453" "Callionymus maculatus" "Brama brama"
"454" "Capros aper" "Brama brama"
"455" "Ceratoscopelus maderensis" "Brama brama"
"456" "Chaetognatha" "Brama brama"
"457" "Chiroteuthis sp" "Brama brama"
"458" "Clupeoid" "Brama brama"
"459" "crustacean" "Brama brama"
"460" "Cubiceps gracilis" "Brama brama"
"461" "Deltentosteus quadrimaculatus" "Brama brama"
"462" "Engraulis encrassicolus" "Brama brama"
"463" "Euphausid furcilia" "Brama brama"
"464" "fish" "Brama brama"
"465" "fish larvae" "Brama brama"
"466" "fish unidentified" "Brama brama"
"467" "flatfish" "Brama brama"
"468" "Funchalia woodwardii" "Brama brama"
"469" "Gadiculus argenteus" "Brama brama"
"470" "Gadiculus sp." "Brama brama"
"471" "Gadoid" "Brama brama"
"472" "Gaidropsarus sp." "Brama brama"
"473" "Gaidropsarus vulgaris" "Brama brama"
"474" "Galiteuthis armata" "Brama brama"
"475" "gelatinous" "Brama brama"
"476" "Glyptocephalus cynoglossus" "Brama brama"
"477" "Goby" "Brama brama"
"478" "Gonatus steenstrupi" "Brama brama"
"479" "Gonostomatidae sp." "Brama brama"
"480" "Gurnard" "Brama brama"
"481" "Hatchet fish" "Brama brama"
"482" "Hippoglossoides platessoides" "Brama brama"
"483" "Histioteuthis reversa" "Brama brama"
"484" "Lepidorhombus whiffiagonis" "Brama brama"
"485" "Lepidotrigla cavillone" "Brama brama"
"486" "Limanda limanda" "Brama brama"
"487" "Lobianchia gemellari" "Brama brama"
"488" "Loligo pealei or Illex illecebrosus" "Brama brama"
"489" "Macroparalepis affinis" "Brama brama"
"490" "Mastigoteuthis sp" "Brama brama"
"491" "Maurolicus muelleri" "Brama brama"
"492" "Meganyctiphanes norvegica" "Brama brama"
"493" "Merlangius merlangus" "Brama brama"
"494" "Merluccius merluccius" "Brama brama"
"495" "Microchirus variegatus" "Brama brama"
"496" "Micromesistius potassou" "Brama brama"
"497" "Myctophid" "Brama brama"
"498" "Myctophum punctatum" "Brama brama"
"499" "Mysidacea" "Brama brama"
"500" "Notoscopelus kroeyeri" "Brama brama"
"501" "Octopoteuthis sp" "Brama brama"
"502" "Onychoteuthis banksi" "Brama brama"
"503" "Paralepididae sp" "Brama brama"
"504" "Parathemisto gaudichaudi" "Brama brama"
"505" "Peprilus triacanthus" "Brama brama"
"506" "Rockling" "Brama brama"
"507" "Sardina pilchardus" "Brama brama"
"508" "Scaldfish" "Brama brama"
"509" "Scomber scrombus" "Brama brama"
"510" "Scomberesox saurus" "Brama brama"
"511" "Scyliorhinus canicula" "Brama brama"
"512" "Sepiolidae" "Brama brama"
"513" "Serranus hepatus" "Brama brama"
"514" "silversides, anchovies and 'other fish prey'" "Brama brama"
"515" "Sprattus sprattus" "Brama brama"
"516" "squid unidentified" "Brama brama"
"517" "Symbolophorus veranyi" "Brama brama"
"518" "teleosts/molluscs/crustaceans" "Brama brama"
"519" "Themisto pacifica" "Brama brama"
"520" "Trachurus trachurus" "Brama brama"
"521" "Trigla lyra" "Brama brama"
"522" "Trisopterus esmarkii" "Brama brama"
"523" "Trisopterus luscus" "Brama brama"
"524" "Trisopterus minutus" "Brama brama"
"525" "Trisopterus sp." "Brama brama"
"526" "unidentified invertebrate" "Brama brama"
"527" "unidentified squid" "Brama brama"
"528" "Anarhichas minor" "Brama brama"
"529" "Arnoglossus imperialis" "Brama brama"
"530" "Clupea pallasii" "Brama brama"
"531" "Dicentrarchus labrax" "Brama brama"
"532" "Gasterosteus aculeatus" "Brama brama"
"533" "Gilbertidia sigalutes" "Brama brama"
"534" "Hemilepidotus hemilepidotus" "Brama brama"
"535" "Hexagrammos decagrammus" "Brama brama"
"536" "Hypomesus pretiosus" "Brama brama"
"537" "Loligo pealeii" "Brama brama"
"538" "Micromesistius poutassou" "Brama brama"
"539" "Nototheniops larseni" "Brama brama"
"540" "Oncorhynchus keta" "Brama brama"
"541" "Oncorhynchus nerka" "Brama brama"
"542" "Ophiodon elongatus" "Brama brama"
"543" "Pleuragramma antarcticum" "Brama brama"
"544" "Thaleichthys pacificus" "Brama brama"
"545" "Theragra chalcogramma" "Brama brama"
"546" "Trisopterus minutus" "Brama brama"
"547" "Agonus cataphractus" "Brevoortia sp."
"548" "Ammodytes sp." "Brevoortia sp."
"549" "Arctozenus risso" "Brevoortia sp."
"550" "Benthosema glaciale" "Brevoortia sp."
"551" "Bivalve" "Brevoortia sp."
"552" "Buglossidium luteum" "Brevoortia sp."
"553" "Callionymus lyra" "Brevoortia sp."
"554" "Callionymus maculatus" "Brevoortia sp."
"555" "Capros aper" "Brevoortia sp."
"556" "Ceratoscopelus maderensis" "Brevoortia sp."
"557" "Chaetognatha" "Brevoortia sp."
"558" "Clupeoid" "Brevoortia sp."
"559" "crustacean" "Brevoortia sp."
"560" "crustacean larva" "Brevoortia sp."
"561" "Deltentosteus quadrimaculatus" "Brevoortia sp."
"562" "euphausia" "Brevoortia sp."
"563" "Euphausid furcilia" "Brevoortia sp."
"564" "fish" "Brevoortia sp."
"565" "fish larvae" "Brevoortia sp."
"566" "Funchalia woodwardii" "Brevoortia sp."
"567" "Gadiculus argenteus" "Brevoortia sp."
"568" "Gadiculus sp." "Brevoortia sp."
"569" "Gadoid" "Brevoortia sp."
"570" "Gaidropsarus sp." "Brevoortia sp."
"571" "Gaidropsarus vulgaris" "Brevoortia sp."
"572" "gastropod" "Brevoortia sp."
"573" "gelatinous" "Brevoortia sp."
"574" "Glyptocephalus cynoglossus" "Brevoortia sp."
"575" "Goby" "Brevoortia sp."
"576" "Gonostomatidae sp." "Brevoortia sp."
"577" "Gurnard" "Brevoortia sp."
"578" "Hatchet fish" "Brevoortia sp."
"579" "Hippoglossoides platessoides" "Brevoortia sp."
"580" "Insects" "Brevoortia sp."
